科目,20220331,20211231,20201231,20191231
减：营业税金及附加(元),"累计:438000000.00 同比:6.31% 环比:-- 单季:438000000.00, 单季同比:6.31%, 单季环比:--","累计:1644000000.00 同比:7.80% 环比:33.77% 单季:415000000.00, 单季同比:12.47%, 单季环比:1.47%","累计:1525000000.00 同比:18.22% 环比:31.92% 单季:369000000.00, 单季同比:9.17%, 单季环比:3.07%","累计:1290000000.00 同比:12.27% 环比:35.50% 单季:338000000.00, 单季同比:11.92%, 单季环比:-2.03%"
少数股东损益(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
净敞口套期收益(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
手续费及佣金净收入(元),"累计:8887000000.00 同比:4.79% 环比:-- 单季:8887000000.00, 单季同比:4.79%, 单季环比:--","累计:33062000000.00 同比:-23.96% 环比:29.97% 单季:7623000000.00, 单季同比:-32.19%, 单季环比:-5.20%","累计:43481000000.00 同比:18.34% 环比:34.87% 单季:11242000000.00, 单季同比:26.14%, 单季环比:-10.19%","累计:36743000000.00 同比:17.40% 环比:32.02% 单季:8912000000.00, 单季同比:17.39%, 单季环比:-5.59%"
利息净收入(元),"累计:31942000000.00 同比:7.31% 环比:-- 单季:31942000000.00, 单季同比:7.31%, 单季环比:--","累计:120336000000.00 同比:20.76% 环比:34.36% 单季:30775000000.00, 单季同比:25.63%, 单季环比:1.90%","累计:99650000000.00 同比:10.77% 环比:32.59% 单季:24496000000.00, 单季同比:3.39%, 单季环比:-1.42%","累计:89961000000.00 同比:20.36% 环比:35.75% 单季:23692000000.00, 单季同比:17.19%, 单季环比:4.69%"
扣除非经常性损益后净利润(元),"累计:12873000000.00 同比:27.32% 环比:-- 单季:12873000000.00, 单季同比:27.32%, 单季环比:--","累计:36230000000.00 同比:25.62% 环比:24.97% 单季:7238000000.00, 单季同比:10.94%, 单季环比:-36.96%","累计:28840000000.00 同比:2.68% 环比:29.23% 单季:6524000000.00, 单季同比:43.10%, 单季环比:-25.27%","累计:28086000000.00 同比:13.71% 环比:19.38% 单季:4559000000.00, 单季同比:4.73%, 单季环比:-44.48%"
净利润（不含少数股东损益）(元),"累计:12850000000.00 同比:26.83% 环比:-- 单季:12850000000.00, 单季同比:26.83%, 单季环比:--","累计:36336000000.00 同比:25.61% 环比:24.72% 单季:7201000000.00, 单季同比:10.28%, 单季环比:-37.66%","累计:28928000000.00 同比:2.60% 环比:29.15% 单季:6530000000.00, 单季同比:42.76%, 单季环比:-25.11%","累计:28195000000.00 同比:13.61% 环比:19.36% 单季:4574000000.00, 单季同比:4.86%, 单季环比:-44.34%"
净利润（含少数股东损益）(元),"累计:12850000000.00 同比:26.83% 环比:-- 单季:12850000000.00, 单季同比:26.83%, 单季环比:--","累计:36336000000.00 同比:25.61% 环比:24.72% 单季:7201000000.00, 单季同比:10.28%, 单季环比:-37.66%","累计:28928000000.00 同比:2.60% 环比:29.15% 单季:6530000000.00, 单季同比:42.76%, 单季环比:-25.11%","累计:28195000000.00 同比:13.61% 环比:19.36% 单季:4574000000.00, 单季同比:4.86%, 单季环比:-44.34%"
国际会计准则净利润(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
营业利润(元),"累计:16340000000.00 同比:26.38% 环比:-- 单季:16340000000.00, 单季同比:26.38%, 单季环比:--","累计:45985000000.00 同比:24.59% 环比:24.86% 单季:9156000000.00, 单季同比:14.65%, 单季环比:-36.48%","累计:36909000000.00 同比:1.71% 环比:27.61% 单季:7986000000.00, 单季同比:43.22%, 单季环比:-29.10%","累计:36289000000.00 同比:12.33% 环比:18.16% 单季:5576000000.00, 单季同比:-2.02%, 单季环比:-47.77%"
