科目,20220331,20211231,20201231,20191231
衍生金融资产(元),"累计:30842000000.00 同比:-6.28% 环比:-- 单季:30842000000.00, 单季同比:-6.28%, 单季环比:--","累计:30238000000.00 同比:-17.40% 环比:4.90% 单季:--, 单季同比:--, 单季环比:--","累计:36607000000.00 同比:97.88% 环比:18.78% 单季:--, 单季同比:--, 单季环比:--","累计:18500000000.00 同比:-13.79% 环比:-21.98% 单季:--, 单季同比:--, 单季环比:--"
衍生金融负债(元),"累计:30706000000.00 同比:-13.54% 环比:-- 单季:30706000000.00, 单季同比:-13.54%, 单季环比:--","累计:31092000000.00 同比:-25.05% 环比:-0.16% 单季:--, 单季同比:--, 单季环比:--","累计:41485000000.00 同比:93.82% 环比:17.57% 单季:--, 单季同比:--, 单季环比:--","累计:21404000000.00 同比:-0.93% 环比:-23.75% 单季:--, 单季同比:--, 单季环比:--"
应付职工薪酬(元),"累计:14730000000.00 同比:3.51% 环比:-- 单季:14730000000.00, 单季同比:3.51%, 单季环比:--","累计:18095000000.00 同比:6.70% 环比:-1.17% 单季:--, 单季同比:--, 单季环比:--","累计:16959000000.00 同比:19.28% 环比:6.68% 单季:--, 单季同比:--, 单季环比:--","累计:14218000000.00 同比:16.18% 环比:0.64% 单季:--, 单季同比:--, 单季环比:--"
以摊余成本计量的金融资产(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
以公允价值计量且变动计入其他综合收益的金融资产(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
可供出售的金融资产(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
金融投资(元),"累计:1303029000000.00 同比:14.48% 环比:-- 单季:1303029000000.00, 单季同比:14.48%, 单季环比:--","累计:1282889000000.00 同比:12.18% 环比:3.26% 单季:--, 单季同比:--, 单季环比:--","累计:1143611000000.00 同比:9.22% 环比:1.73% 单季:--, 单季同比:--, 单季环比:--","累计:1047080000000.00 同比:23.14% 环比:4.71% 单季:--, 单季同比:--, 单季环比:--"
固定资产(元),"累计:11566000000.00 同比:-2.22% 环比:-- 单季:11566000000.00, 单季同比:-2.22%, 单季环比:--","累计:11974000000.00 同比:9.92% 环比:5.41% 单季:--, 单季同比:--, 单季环比:--","累计:10893000000.00 同比:-1.79% 环比:5.96% 单季:--, 单季同比:--, 单季环比:--","累计:11092000000.00 同比:1.77% 环比:4.77% 单季:--, 单季同比:--, 单季环比:--"
卖出回购金融资产款(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:47703000000.00 同比:35.19% 环比:90.13% 单季:--, 单季同比:--, 单季环比:--","累计:35286000000.00 同比:-12.00% 环比:-62.73% 单季:--, 单季同比:--, 单季环比:--","累计:40099000000.00 同比:401.99% 环比:-24.55% 单季:--, 单季同比:--, 单季环比:--"
商誉(元),"累计:7568000000.00 同比:-- 环比:-- 单季:7568000000.00, 单季同比:--, 单季环比:--","累计:7568000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:7568000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:7568000000.00 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
持有至到期投资(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
持有待售的资产(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
持有待售负债(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
应付利息(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
应收利息(元),"累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--","累计:-- 同比:-- 环比:-- 单季:--, 单季同比:--, 单季环比:--"
无形资产(元),"累计:5644000000.00 同比:-10.81% 环比:-- 单季:5644000000.00, 单季同比:-10.81%, 单季环比:--","累计:5801000000.00 同比:50.60% 环比:-1.31% 单季:--, 单季同比:--, 单季环比:--","累计:3852000000.00 同比:-11.67% 环比:-1.31% 单季:--, 单季同比:--, 单季环比:--","累计:4361000000.00 同比:-8.59% 环比:-4.64% 单季:--, 单季同比:--, 单季环比:--"
